column_ref,code,description,notes
"offence.offence_code / reported_offence.offence_code","6001","Intentionally obstructs an officer in the execution of his duty, or any person (other than a prisoner) who is at the prison for the purpose of working there, in the performance of his work","name=ADULT_51_6; nomisCode=51:6; paragraph=6; withOthersNomisCode=51:25R; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","18001","Absents himself from any place he is required to be or is present at any place where he is not authorised to be","name=ADULT_51_18A; nomisCode=51:18A; paragraph=18; withOthersNomisCode=51:25B; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","18002","Absents himself from any place he is required to be or is present at any place where he is not authorised to be","name=ADULT_51_18B; nomisCode=51:18B; paragraph=18; withOthersNomisCode=51:25AO; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","21001","Intentionally fails to work properly or, being required to work, refuses to do so","name=ADULT_51_21; nomisCode=51:21; paragraph=21; withOthersNomisCode=51:25AL; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","2600124","Fails to comply with any payback punishment","name=ADULT_51_23A_24; nomisCode=51:23A (24); paragraph=23(a); withOthersNomisCode=51:23A (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","1001","Commits any racially aggravated assault","name=YOI_55_2; nomisCode=55:2; paragraph=2; withOthersNomisCode=55:2; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1003","Commits any racially aggravated assault","name=YOI_55_2; nomisCode=55:2; paragraph=2; withOthersNomisCode=55:2; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1005","Commits any racially aggravated assault","name=YOI_55_2; nomisCode=55:2; paragraph=2; withOthersNomisCode=55:2; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1021","Commits any racially aggravated assault","name=YOI_55_2; nomisCode=55:2; paragraph=2; withOthersNomisCode=55:2; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1007","Commits any racially aggravated assault","name=YOI_55_2; nomisCode=55:2; paragraph=2; withOthersNomisCode=55:2; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","100124","Commits any assault aggravated by a protected characteristic","name=YOI_55_2_24; nomisCode=55:2 (24); paragraph=2; withOthersNomisCode=55:2 (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","100324","Commits any assault aggravated by a protected characteristic","name=YOI_55_2_24; nomisCode=55:2 (24); paragraph=2; withOthersNomisCode=55:2 (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","100524","Commits any assault aggravated by a protected characteristic","name=YOI_55_2_24; nomisCode=55:2 (24); paragraph=2; withOthersNomisCode=55:2 (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","102124","Commits any assault aggravated by a protected characteristic","name=YOI_55_2_24; nomisCode=55:2 (24); paragraph=2; withOthersNomisCode=55:2 (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","100724","Commits any assault aggravated by a protected characteristic","name=YOI_55_2_24; nomisCode=55:2 (24); paragraph=2; withOthersNomisCode=55:2 (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","1002","Commits any assault","name=YOI_55_1A; nomisCode=55:1A; paragraph=1; withOthersNomisCode=55:29D; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","1022","Commits any assault","name=YOI_55_1A; nomisCode=55:1A; paragraph=1; withOthersNomisCode=55:29D; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","102224","Commits any sexual assault","name=YOI_55_2A_24; nomisCode=55:2A (24); paragraph=2(a); withOthersNomisCode=55:2A (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","102324","Exposes himself, or commits any other indecent or obscene act","name=YOI_55_2B_24; nomisCode=55:2B (24); paragraph=2(b); withOthersNomisCode=55:2B (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","102424","Sexually harasses any person","name=YOI_55_2C_24; nomisCode=55:2C (24); paragraph=2(c); withOthersNomisCode=55:2C (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","1004","Commits any assault","name=YOI_55_1L; nomisCode=55:1L; paragraph=1; withOthersNomisCode=55:29F; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","1006","Commits any assault","name=YOI_55_1M; nomisCode=55:1M; paragraph=1; withOthersNomisCode=55:29G; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","1008","Commits any assault","name=YOI_55_1E; nomisCode=55:1E; paragraph=1; withOthersNomisCode=55:29E; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4001","Fights with any person","name=YOI_55_5; nomisCode=55:5; paragraph=5; withOthersNomisCode=55:5; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4002","Fights with any person","name=YOI_55_5; nomisCode=55:5; paragraph=5; withOthersNomisCode=55:5; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4003","Fights with any person","name=YOI_55_5; nomisCode=55:5; paragraph=5; withOthersNomisCode=55:5; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4004","Fights with any person","name=YOI_55_5; nomisCode=55:5; paragraph=5; withOthersNomisCode=55:5; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","4005","Fights with any person","name=YOI_55_5; nomisCode=55:5; paragraph=5; withOthersNomisCode=55:5; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","5001","Intentionally endangers the health or personal safety of others or, by his conduct, is reckless whether such health or personal safety is endangered","name=YOI_55_6; nomisCode=55:6; paragraph=6; withOthersNomisCode=55:29Q; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","5002","Intentionally endangers the health or personal safety of others or, by his conduct, is reckless whether such health or personal safety is endangered","name=YOI_55_6; nomisCode=55:6; paragraph=6; withOthersNomisCode=55:29Q; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","5003","Intentionally endangers the health or personal safety of others or, by his conduct, is reckless whether such health or personal safety is endangered","name=YOI_55_6; nomisCode=55:6; paragraph=6; withOthersNomisCode=55:29Q; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","5004","Intentionally endangers the health or personal safety of others or, by his conduct, is reckless whether such health or personal safety is endangered","name=YOI_55_6; nomisCode=55:6; paragraph=6; withOthersNomisCode=55:29Q; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","5005","Intentionally endangers the health or personal safety of others or, by his conduct, is reckless whether such health or personal safety is endangered","name=YOI_55_6; nomisCode=55:6; paragraph=6; withOthersNomisCode=55:29Q; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","7001","Escapes or absconds from a young offender institution or from legal custody","name=YOI_55_8; nomisCode=55:8; paragraph=8; withOthersNomisCode=55:29O; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","7002","Escapes or absconds from a young offender institution or from legal custody","name=YOI_55_8; nomisCode=55:8; paragraph=8; withOthersNomisCode=55:29O; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","8001","Fails to comply with any condition upon which he was temporarily released under rule 5 of these rules","name=YOI_55_9D; nomisCode=55:9D; paragraph=9; withOthersNomisCode=55:29AI; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","8002","Fails to comply with any condition upon which he was temporarily released under rule 5 of these rules","name=YOI_55_9E; nomisCode=55:9E; paragraph=9; withOthersNomisCode=55:29AJ; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","12001","Has in his possession:<br><br>(a) any unauthorised article, or<br><br>(b) a greater quantity of any article than he is authorised to have","name=YOI_55_13; nomisCode=55:13; paragraph=13; withOthersNomisCode=55:29AM; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","12002","Has in his possession:<br><br>(a) any unauthorised article, or<br><br>(b) a greater quantity of any article than he is authorised to have","name=YOI_55_13A; nomisCode=55:13A; paragraph=13; withOthersNomisCode=55:29AH; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","14001","Sells or, without permission, delivers to any person any article which he is allowed to have only for his own use","name=YOI_55_15; nomisCode=55:15; paragraph=15; withOthersNomisCode=55:29J; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","13001","Sells or delivers to any person any unauthorised article","name=YOI_55_14B; nomisCode=55:14B; paragraph=14; withOthersNomisCode=55:29J; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","15001","Takes improperly any article belonging to another person or to a young offender institution","name=YOI_55_16; nomisCode=55:16; paragraph=16; withOthersNomisCode=55:29T; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","24001","Receives any controlled drug, pharmacy medicine, prescription only medicine, psychoactive substance or specified substance or, without the consent of an officer, any other article, during the course of a visit (not being an interview such as is mentioned in rule 16)","name=YOI_55_27; nomisCode=55:27; paragraph=27; withOthersNomisCode=55:29Y; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","24002","Receives any controlled drug, pharmacy medicine, prescription only medicine, psychoactive substance or specified substance or, without the consent of an officer, any other article, during the course of a visit (not being an interview such as is mentioned in rule 16)","name=YOI_55_27; nomisCode=55:27; paragraph=27; withOthersNomisCode=55:29Y; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","23001","Disobeys or fails to comply with any rule or regulation applying to him","name=YOI_55_26B; nomisCode=55:26B; paragraph=26; withOthersNomisCode=55:29V; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","23201","Disobeys or fails to comply with any rule or regulation applying to him","name=YOI_55_26B; nomisCode=55:26B; paragraph=26; withOthersNomisCode=55:29V; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","23002","Disobeys any lawful order","name=YOI_55_26C; nomisCode=55:26C; paragraph=25; withOthersNomisCode=55:29Z; applicableVersions=1|2"
